0Calories ,1Fats (gm),2Proteins(g),3Iron(mg),4Calcium(mg),5Sodium(mg),6Potassium(mg),7Carbohydrates (gm),8Fibre (gm),9Vitamin D (mcg),10Sugars (gm)
160,15,2,0.55,12,7,485,8.5,6.7,0,0.7
89,0.3,1.1,0.26,5,1,358,8.5,2.6,0,12
349,0.4,14,6.8,190,298,77,8.5,13,0,46
331,24,20,0.84,497,966,363,8.5,0,0,0
2,0,0.3,0.02,2,1,50,8.5,0,0,0
97,1.4,3.3,0.55,2,253,3.3,8.5,2.7,0,7.7
93,2.1,5.6,2.63,2,9,272,8.5,11,0,6.3
97,6.9,3.8,0.12,2,52,178,8.5,0,0,0
553,44,18,6.68,2,12,660,8.5,3.3,0,5.9
97,0.2,1.5,0.8,2,3,212,8.5,11,0,0
57,0.1,0.4,0.18,2,1,116,8.5,3.1,0,9.8
411,17,46,8.57,2,329,1129,8.5,7.1,200,5.7
381,1.4,2,0.8,2,286,110,8.5,2.5,0,65
429,9.5,13,2.28,2,490,241,8.5,14,0,0.5
168,3.7,4.5,8,2,94,76,8.5,0.9,0,0.1
156,1.7,5,17.2,2,207,63,8.5,2.1,0,0.74
130,1.5,2.6,3.16,2,201,117,8.5,1.1,0,0.5
16,0.2,1.2,0.47,2,42,212,8.5,0.9,0,2.63
60,4,3.1,0.08,2,70,234,8.5,0,1,7
407,6.2,4.4,3.81,2,457,51,8.5,2.9,0,55
188,7.2,4.4,24,2,522,91,8.5,2.2,0,0.24
151,2.4,9,37.4,2,438,180,8.5,1,0,1.35
579,50,21,3.71,2,1,733,8.5,13,0,4.4
22,0.3,3.1,0.5,2,5,318,8.5,1,7,2
196,15,14,1.89,2,207,152,8.5,0,88,0.4
76,0.1,1.4,0.72,2,27,230,8.5,2.5,0,5.7
87,0.1,1.9,0.31,2,240,379,8.5,2,0,0.9
45,0.2,0.7,0.2,2,1,200,8.5,0.2,0,8.4
73,1.9,10,0.04,2,34,141,8.5,0,0,3.6
40,0.9,3.2,0.88,2,1,92,8.5,2.6,0,0
1,0,0.2,0.02,2,1,0.2,8.5,0,0,0
486,31,17,7.72,2,16,407,8.5,34,0,0
384,0.9,5.9,19.4,2,571,107,8.5,2.7,286,7.8
1,0,0,0.08,2,1,9,8.5,0,0,0
52,0.2,0.3,0.12,2,1,107,8.5,24,0,10
32,0.3,0.7,0.41,2,1,153,8.5,2,0,4.9
120,1.9,4.4,1.49,2,7,172,8.5,2.8,0,0.9
350,22,4.3,0.75,2,313,362,8.5,3.2,0,2.2
550,50,22,3.4,2,1531,257,8.5,0,0,0
519,34,2.3,1.25,2,6,536,8.5,7.7,0,35
304,0,0.3,0.42,2,4,52,8.5,0.2,0,82
535,30,7.7,2.35,2,79,372,8.5,3.4,0,52
